,X,Y,simul_2008_etat_initial_loyer,simul_2008_etat_initial_logement,simul_2008_etat_initial_taille,simul_2008_etat_initial_emissions,simul_2030_sc1_BAU_loyer,simul_2030_sc1_BAU_logement,simul_2030_sc1_BAU_taille,simul_2030_sc1_BAU_emissions,simul_2030_sc3_ZI_loyer,simul_2030_sc3_ZI_logement,simul_2030_sc3_ZI_taille,simul_2030_sc3_ZI_emissions,simul_2030_sc4_CV_loyer,simul_2030_sc4_CV_logement,simul_2030_sc4_CV_taille,simul_2030_sc4_CV_emissions,simul_2030_sc2_TU_loyer,simul_2030_sc2_TU_logement,simul_2030_sc2_TU_taille,simul_2030_sc2_TU_emissions,simul_2030_sc5_mix_loyer,simul_2030_sc5_mix_logement,simul_2030_sc5_mix_taille,simul_2030_sc5_mix_emissions,coeff_land,part_inond,distance_centre
4763,671250.0,6837850.0,135.105182236005,68285.9420304034,90.3801861418152,2277163.83526026,238.57412869269902,87344.4542818504,89.83094640915279,2594380.7743316004,238.687067145293,87932.3737236162,89.7884415168528,2594380.7743316004,241.25874488982498,68285.9420304035,88.83134901075691,2594380.7743316004,240.289880663607,96461.3417149789,89.3149597111201,1890422.23021544,243.67175180697998,68285.9420304035,88.11891411302571,1890422.23021544,0.62,0.0,30.108138434649195
4764,671250.0,6836850.0,133.432665149744,55318.858193951106,91.1717150212054,2457508.55523072,236.402395523226,76376.65083488531,90.4078219345401,2791724.42580988,236.514305900458,76926.0586794643,90.3650440847231,2791724.42580988,239.062573739273,55318.858193951106,89.40180533098801,2791724.42580988,236.908893637622,78876.960524589,90.2053069487715,2117449.52987294,240.24486596374297,55318.858193951106,88.9969013177252,2117449.52987294,0.62,0.0,30.92733418838423
4765,671250.0,6835850.0,133.77341190852698,57863.61587038731,91.0090904440502,2376913.35403078,236.485973756391,76786.8032456638,90.3854545671528,2709910.94746996,236.597923698669,77337.6923431046,90.3426873007993,2709910.94746996,239.147092457812,57863.6158703874,89.3796868573633,2709910.94746996,240.470125216762,97442.0200950025,89.2680921765195,1888992.72491017,243.85444281126098,57863.6158703874,88.07269703493401,1888992.72491017,0.62,0.0,31.756889016400834
4766,671250.0,6834850.0,134.67095271753402,64804.8756315242,90.5840812822366,2221963.05053452,237.228766836469,80474.128665739,90.1872556450692,2570483.4275694,237.341068409082,81038.18473859309,90.1445821595805,2570483.4275694,239.898244006366,64804.87563152429,89.18369340160059,2570483.4275694,243.573313410834,115001.531185691,88.47045300737551,1716921.06058306,246.999743051291,64804.87563152429,87.2861253636071,1716921.06058306,0.6138,0.0,32.59601202601324
4767,671250.0,6833850.0,134.74737852984302,65411.772640544295,90.5481140831827,2167603.13466989,237.03386032111698,79499.2678953719,90.23916021880609,2535403.96175567,237.146069627062,80059.8685209174,90.196462173871,2535403.96175567,239.701144255768,65411.772640544405,89.2350204051466,2535403.96175567,244.408843297434,119945.64354412901,88.2586342880224,1659653.82980429,247.84660919014098,65411.772640544405,87.0772448598627,1659653.82980429,0.2852,0.0,33.44398301638129
4768,671250.0,6832850.0,133.545110938453,56153.086475436205,91.1179712380179,2247229.84074038,235.248249624238,70811.3731787688,90.7180773113433,2636264.91275506,235.35961364108897,71340.3301155339,90.6751526594285,2636264.91275506,237.89544051935903,56153.086475436205,89.7086083288518,2636264.91275506,242.09022444375,106450.738297514,88.8494956142346,1741701.99134847,245.496529451382,56153.086475436205,87.6599092534857,1741701.99134847,0.496,0.0125,34.30014577228499
4769,671250.0,6831850.0,133.028236257251,52363.699550966696,91.3656511271975,2301128.4158953,234.422242892697,66941.90052660639,90.94171623592241,3266917.14009504,234.533215886755,67456.2232288158,90.89868576581492,3266917.14009504,237.06013893651698,52363.699550966696,89.92975870247909,3266917.14009504,241.462565917738,102919.25160274199,89.01110160253401,2131720.74536789,244.860353017883,52363.699550966696,87.8192728298961,2131720.74536789,0.4774,0.0,35.16390194503448
4770,671250.0,6830850.0,136.169749940583,77155.2312452893,89.88499297311951,1966137.74051667,238.37940915775002,86334.86481071821,89.8823048230085,2849709.06676507,238.49225543218898,86919.3289653895,89.8397756296859,2849709.06676507,241.06183422367297,77155.2312452893,88.8821359318373,2849709.06676507,249.07918560832198,149241.272777631,87.09692813211879,1728638.55514489,252.58029926721,77155.2312452893,85.93164688574042,1728638.55514489,0.62,0.0,36.0347054934545
4771,671250.0,6829850.0,140.252841876506,115476.382730083,88.04515610815321,1635715.86209358,243.85584911859902,116663.19914655,88.4645135505075,2408643.00871376,243.97128788141103,117345.124760809,88.42265520690609,2408643.00871376,246.59989922116,133340.972911246,87.4801211876275,2408643.00871376,257.80960744227997,211358.97559507398,85.0216786943308,1379802.79605569,261.429058238275,239842.594547457,83.88514618398371,1379802.79605569,0.5084,0.0365853658536587,36.9120576505835
4772,671250.0,6828850.0,137.864295574335,92240.2222345842,89.1101905775461,1766393.88616226,240.408929897665,97108.5807437677,89.35048226576559,2619122.20137366,240.522736925615,97729.08898773119,89.308204712456,2619122.20137366,243.114192663051,92240.2222345842,88.3562312510709,2619122.20137366,253.116771413013,176796.072512788,86.1220577929513,1529830.32960015,256.672625726262,92240.2222345842,84.9702858381403,1529830.32960015,0.3968,0.0,37.795502377928514
4773,671250.0,6827850.0,133.724326727039,57493.954196772596,91.0324733717207,2056927.30001528,234.87616433788102,69056.54727160161,90.8186528313212,3036043.33983287,234.987352213518,69578.9119873263,90.77568059055409,3036043.33983287,237.51916824847,57493.954196772596,89.8080646907653,3036043.33983287,244.770625450523,122114.631072415,88.1672988277895,1869132.47068126,248.21329960008703,57493.954196772596,86.9871762388972,1869132.47068126,0.1364,0.0,38.6846222677694
4774,671250.0,6826850.0,130.626717754198,36300.8177055771,92.538238142228,2679124.27171266,230.95884629990502,51764.9735899984,91.8941990161754,3412333.18012709,231.06817975888802,52217.892062720595,91.8507178642081,3412333.18012709,233.557769590723,36300.8177055771,90.8716426930364,3412333.18012709,238.47300636721098,86819.5103470279,89.79074710482809,2233741.68860901,241.83021450367997,36300.8177055771,88.5880972681773,2233741.68860901,0.0,0.0,39.5790348543266
4775,671250.0,6825850.0,131.738649426664,43418.8224967045,91.99079921422741,2503529.06695676,231.967273858327,56007.686648649506,91.61437320841749,3247744.53441301,232.077084696181,56478.4984417185,91.57102446032991,3247744.53441301,234.577544737301,43418.8224967045,90.59493065798858,3247744.53441301,241.059672482037,100679.905589376,89.1152131812806,2061659.33689079,244.45199164429403,43418.8224967045,87.9219396694897,2061659.33689079,0.0496,0.0,40.47838929601819
4776,671250.0,6824850.0,131.090411412955,39201.3690317015,92.3089876811476,2527964.35995125,230.902992968251,51534.26520581941,91.90975831070541,3294149.18045311,231.012299986862,51986.1920781601,91.8662697966189,3294149.18045311,233.50128775521802,39201.3690317015,90.88702885090309,3294149.18045311,239.919472953671,94459.6576253567,89.4114616960539,2093716.05603462,243.296316421199,39201.3690317015,88.21407673007592,2093716.05603462,0.3844,0.22580645161290303,41.382363393117124
